ASSET_ID,RELEASE_YEAR,MPAA_RATING,GENRE,IMDB_RATING,IMDB_RANKING,IMDB_VOTES,Oscar-Nomination,Oscar-Wins,Other - Nominations,Other - Wins,TOMATO_METER,TOMATO_RATING,TOMATO_REVIEWS,TOMATO_FRESH,TOMATO_ROTTEN,TOMATO_USER_METER,TOMATO_USER_RATINGS,TOMATO_USER_REVIEWS,TOMATO_IMAGE,BOX_OFFICE_EARNINGS
204750,2011,R,"Comedy, Thriller",6.2,46,"14,995",0,0,0,0,33,4.8,55,18,37,36,3,14994,rotten,"$94,700,000"
172902,2002,R,"Action, Sci-Fi, Sport",2.9,14,"21,493",0,0,2,0,3,2.6,117,4,113,14,2.1,36746,rotten,"$18,900,000"
198131,2007,PG-13,"Adventure, Comedy",2.3,17,"84,743",0,0,3,1,2,2.3,64,1,63,29,2.4,560170,rotten,"$39,700,000"
195393,2006,PG-13,"Comedy, Drama, Romance",6.8,62,254029,2,0,37,23,75,6.7,187,141,46,76,3.6,570016,certified,"$124,700,000"
185444,2002,R,"Horror, Mystery",5.4,28,"70,668",0,0,1,1,14,3.8,124,17,107,38,2.8,376512,rotten,"$30,100,000"
190961,2002,R,"Drama, Thriller, Crime",7,64,"5,339",0,0,3,1,64,6.4,114,73,41,77,3.6,4790,fresh,"$2,300,000"
173176,2005,R,Drama,7.2,48,"21,125",0,0,0,0,43,5.5,100,43,57,80,3.7,22313,rotten,"$100,000"
181586,2007,PG-13,Horror,6.8,64,193764,0,0,8,4,79,6.6,169,133,36,61,3.4,743904,certified,"$71,900,000"
185525,2006,R,"Crime, Drama, Mystery",7.6,76,252297,0,0,8,6,86,7.3,197,170,27,85,3.7,349506,certified,"$88,400,000"
202216,2012,R,"Action, Crime, Sci-Fi",7.5,84,386213,0,0,37,15,93,8.1,247,230,17,82,4,175659,certified,"$66,300,000"
202854,2002,PG-13,"Biography, Crime, Drama",8,76,433340,2,0,27,13,96,7.9,194,186,8,89,3.6,743989,certified,"$164,400,000"
190005,2009,R,Drama,7.4,79,"78,885",2,2,81,112,91,7.8,219,200,19,81,3.6,140344,certified,"$47,500,000"
197101,2010,R,"Crime, Drama, Thriller",6.3,61,"74,958",0,0,3,0,66,6.5,211,139,72,38,2.8,65716,fresh,"$35,600,000"
203957,2006,R,Comedy,7,33,"64,304",0,0,1,0,18,3.7,62,11,51,85,3.7,225493,rotten,"$5,900,000"
173652,2006,R,"Comedy, Drama",7.4,82,"57,026",1,0,38,23,93,7.9,141,131,10,81,3.7,77570,certified,"$7,100,000"
191075,2007,PG-13,"Drama, Sci-Fi, Thriller",7.2,65,471316,0,0,21,9,70,6.4,207,145,62,68,3.6,1127270,fresh,"$256,300,000"
189985,2009,PG-13,"Drama, Horror, Mystery",5.9,33,"45,395",0,0,2,1,17,4.3,102,17,85,46,3.2,328748,rotten,"$55,300,000"
173234,2011,NOT RATED,Documentary,6.7,63,759,0,0,1,1,60,6.1,47,28,19,55,3.4,489,fresh,"$300,000"
196672,2003,R,"Action, Comedy, Crime",6.5,38,163415,0,0,12,5,23,4.1,176,40,136,78,3.6,500566,rotten,"$138,400,000"
171988,2006,PG,"Biography, Drama, Sport",7.1,63,"46,637",0,0,2,0,71,6.4,132,94,38,73,3.6,87019,fresh,"$57,800,000"
181596,2006,R,"Drama, War",7.1,82,"11,635",1,0,13,9,82,7.2,85,70,15,79,3.7,10172,certified,"$200,000"
172442,2004,PG-13,"Action, Adventure, Drama",6.1,47,"44,165",0,0,2,0,30,4.8,116,35,81,40,3,59000,rotten,"$20,900,000"
172786,2001,R,"Drama, War",8,84,"35,871",1,1,16,31,93,7.8,98,91,7,93,4.1,11832,certified,"$900,000"
174543,2000,PG-13,"Comedy, Crime, Music",7.8,69,205473,2,0,35,7,77,7.1,148,114,34,89,3.7,254542,certified,"$45,200,000"
191713,2007,PG-13,"Comedy, Drama, Romance",7.6,81,379609,1,1,69,99,94,8.1,206,194,12,88,4.1,546924,certified,"$143,400,000"
185403,2006,PG-13,"Biography, Drama",7.4,91,"78,641",1,1,74,92,97,8.4,185,179,6,76,3.5,174671,certified,"$56,200,000"
172534,2003,R,"Drama, Romance",6.9,71,"8,923",0,0,8,4,71,6.9,110,78,32,78,3.8,9034,fresh,"$100,000"
171753,2003,R,"Drama, Romance",6.9,72,"3,427",0,0,12,1,77,7,88,68,20,62,3.3,3073,certified,"$800,000"
198205,2006,PG,"Action, Adventure, Comedy",6.4,48,206622,0,0,8,2,44,5.3,131,57,74,67,3.5,722494,rotten,"$250,800,000"
204225,2011,R,"Comedy, Romance",5.9,45,"97,029",0,0,0,0,34,4.6,171,58,113,41,3,57712,rotten,"$45,000,000"
173764,2004,PG-13,"Mystery, Thriller",6.6,46,134833,0,0,3,0,46,5.5,160,74,86,65,3.3,428399,rotten,"$47,800,000"
195424,2010,R,"Action, Crime, Sci-Fi",6.3,32,"83,055",0,0,2,0,22,4.2,146,32,114,41,3,100296,rotten,"$13,200,000"
204766,2013,R,"Drama, Thriller",6.9,54,"9,307",0,0,3,3,53,6.1,92,49,43,62,3.5,5411,rotten,"$500,000"
202136,2008,PG-13,"Documentary, Sport",7.6,80,"10,783",0,0,5,2,96,7.7,75,72,3,80,3.1,106055,certified,"$200,000"
174352,2006,PG-13,"Drama, Music",6.6,55,"20,564",0,0,6,1,44,5.4,119,52,67,77,3.5,369327,rotten,"$34,700,000"
173244,2004,R,"Crime, Drama, Thriller",7.4,73,123531,0,0,9,2,81,7.1,135,109,26,85,3.7,146763,certified,"$2,300,000"
201714,2012,R,Comedy,6.2,59,"96,257",0,0,10,2,51,5.9,208,107,101,50,3.3,94941,rotten,"$67,500,000"
174266,2004,R,"Biography, Drama, Horror",5.7,63,"39,570",0,0,5,2,72,6.6,191,138,53,32,2.4,55398,fresh,"$30,500,000"
