ASSET_ID,AIRING_START_DATE_TIME,AIRING_END_DATE_TIME,PREMIER_AIRING,EXHIBITION_AIRING,FREE_AIRING,SCHEDULED_RUNTIME,DAY_PART,AIRING_REVENUE,C3_RATING
174543,9/13/2013 21:15,9/13/2013 23:45,0,1,0,150,Late Fringe,197840,595443
181758,9/24/2014 0:00,9/24/2014 3:00,0,0,1,180,Late Night,89818,216841
191074,9/12/2013 14:15,9/12/2013 16:15,0,1,0,120,Daytime,60064,388053
196156,7/14/2013 18:00,7/14/2013 21:00,1,1,0,180,Early Fringe,164494,670869
174201,11/14/2014 15:30,11/14/2014 17:30,0,0,1,120,Daytime,86961,311122
185467,2/7/2014 14:00,2/7/2014 17:00,0,0,1,180,Daytime,103369,417711
200321,8/28/2013 12:00,8/28/2013 14:00,0,1,0,120,Daytime,39261,261052
172392,8/6/2014 14:15,8/6/2014 17:00,0,0,1,165,Daytime,89342,245898
191069,1/18/2014 20:00,1/18/2014 22:30,1,1,0,150,Late Fringe,209319,669668
171976,7/14/2014 17:00,7/14/2014 20:00,0,1,0,180,Early Fringe,196093,269648
172015,3/12/2014 4:00,3/12/2014 6:00,0,1,0,120,Early Morning,14050,177631
171962,2/17/2014 20:00,2/17/2014 23:01,0,1,0,181,Late Fringe,249440,961737
172392,6/10/2014 18:00,6/10/2014 21:00,0,1,0,180,Early Fringe,308907,363166
185242,5/24/2014 0:30,5/24/2014 3:30,0,1,0,180,Late Night,73288,354728
172873,8/15/2014 1:15,8/15/2014 4:15,0,0,1,180,Late Night,33834,210406
191058,2/19/2014 20:00,2/19/2014 23:31,0,1,0,211,Late Fringe,294419,519667
191784,8/20/2013 14:00,8/20/2013 16:00,0,0,1,120,Daytime,39503,311338
172507,2/14/2014 9:15,2/14/2014 11:15,0,1,0,120,Breakfast,42124,155531
187743,12/1/2014 10:00,12/1/2014 12:30,0,1,0,150,Daytime,56613,210026
172873,7/11/2014 20:00,7/11/2014 23:00,0,1,0,180,Late Fringe,171713,498138
172873,7/24/2014 9:00,7/24/2014 12:00,0,1,0,180,Breakfast,56306,190664
197303,9/10/2013 19:00,9/10/2013 23:01,0,0,1,241,Early Fringe,302640,349402
185352,3/17/2014 19:00,3/17/2014 22:00,0,1,0,180,Early Fringe,255164,604969
172908,9/3/2014 0:00,9/3/2014 2:30,0,0,1,150,Late Night,58505,277536
185337,11/6/2014 9:00,11/6/2014 12:00,0,0,1,180,Breakfast,59491,197386
191035,5/10/2014 21:00,5/10/2014 23:30,0,1,0,150,Late Fringe,224514,592105
171996,5/29/2014 20:00,5/30/2014 0:01,0,1,0,241,Late Fringe,244557,520975
185557,7/26/2013 14:15,7/26/2013 16:30,0,1,0,135,Daytime,64324,314076
172027,6/6/2014 12:00,6/6/2014 15:00,0,1,0,180,Daytime,63277,302670
174569,9/5/2013 16:30,9/5/2013 19:30,0,0,1,180,Daytime,159927,244955
181760,5/13/2014 16:00,5/13/2014 19:00,0,1,0,180,Daytime,190569,345261
174243,6/26/2013 22:00,6/27/2013 0:15,0,1,0,135,Late Fringe,164420,991817
185234,3/12/2014 20:00,3/13/2014 0:01,0,1,0,241,Late Fringe,361461,451718
172915,9/20/2013 9:15,9/20/2013 12:00,0,1,0,165,Breakfast,55482,193425
185484,1/25/2015 1:00,1/25/2015 3:30,0,0,1,150,Late Night,33299,244615
185533,11/27/2014 10:00,11/27/2014 13:00,0,1,0,180,Daytime,52407,613401
191055,5/31/2014 19:30,5/31/2014 23:00,0,1,0,210,Early Fringe,263222,671061
185324,1/20/2015 22:00,1/21/2015 0:30,0,1,0,150,Late Fringe,176324,491951
